iter	Passed	Remaining
0	79	79838
1	107	53846
2	133	44435
3	152	37938
4	165	32873
5	175	29087
6	184	26239
7	195	24208
8	205	22604
9	214	21255
10	223	20085
11	233	19199
12	242	18393
13	252	17750
14	262	17207
15	271	16689
16	280	16237
17	289	15814
18	299	15451
19	308	15109
20	317	14822
21	327	14537
22	335	14261
23	344	14018
24	354	13806
25	362	13592
26	371	13383
27	381	13228
28	390	13082
29	400	12954
30	410	12816
31	419	12685
32	428	12554
33	437	12428
34	446	12311
35	455	12200
36	465	12112
37	474	12018
38	484	11928
39	493	11843
40	502	11742
41	511	11675
42	521	11606
43	530	11536
44	540	11472
45	549	11398
46	559	11337
47	567	11262
48	576	11194
49	586	11140
50	596	11100
51	605	11044
52	616	11010
53	626	10969
54	635	10918
55	645	10872
56	654	10823
57	663	10778
58	672	10727
59	681	10676
60	690	10633
61	699	10587
62	708	10538
63	717	10493
64	726	10451
65	736	10417
66	745	10380
67	754	10341
68	763	10307
69	772	10267
70	782	10236
71	791	10206
72	801	10173
73	810	10144
74	820	10122
75	831	10103
76	841	10087
77	852	10082
78	862	10053
79	872	10038
80	882	10012
81	899	10066
82	908	10039
83	917	10007
84	926	9975
85	936	9957
86	946	9927
87	955	9899
88	965	9878
89	974	9849
90	984	9833
91	993	9805
92	1002	9781
93	1012	9762
94	1023	9754
95	1034	9746
96	1043	9715
97	1052	9691
98	1062	9666
99	1071	9646
100	1081	9625
101	1090	9599
102	1099	9576
103	1108	9549
104	1118	9534
105	1127	9509
106	1137	9490
107	1146	9469
108	1155	9449
109	1165	9428
110	1174	9407
111	1183	9386
112	1193	9368
113	1202	9345
114	1212	9330
115	1221	9309
116	1230	9288
117	1239	9267
118	1249	9247
119	1257	9223
120	1267	9204
121	1275	9182
122	1285	9162
123	1294	9144
124	1303	9121
125	1312	9101
126	1320	9079
127	1330	9062
128	1338	9040
129	1348	9022
130	1357	9001
131	1365	8981
132	1375	8963
133	1383	8943
134	1393	8926
135	1402	8909
136	1412	8896
137	1421	8877
138	1430	8859
139	1438	8839
140	1447	8821
141	1456	8801
142	1465	8780
143	1474	8763
144	1483	8745
145	1492	8730
146	1501	8711
147	1510	8695
148	1519	8680
149	1528	8663
150	1537	8645
151	1546	8629
152	1556	8614
153	1565	8597
154	1574	8584
155	1583	8566
156	1592	8548
157	1601	8533
158	1610	8519
159	1619	8504
160	1629	8490
161	1638	8476
162	1647	8459
