iter	RMSE
0	415309.673
1	407273.4359
2	398730.4552
3	391955.9875
4	385210.054
5	379194.7083
6	373603.5964
7	367797.1688
8	362398.2172
9	358237.3166
10	353674.7104
11	349820.9572
12	345939.2239
13	341941.3847
14	338200.9127
15	335200.6535
16	331519.8351
17	329126.8823
18	325826.129
19	322743.8959
20	320422.2416
21	318023.0975
22	314989.1069
23	312679.4565
24	310293.7591
25	308568.7842
26	306824.9529
27	305366.7918
28	303445.0601
29	301523.7922
30	301255.9964
31	299220.828
32	297832.4304
33	296356.3922
34	296061.1178
35	295704.3682
36	294106.0165
37	293745.9057
38	292518.0668
39	291438.4995
40	291112.3758
41	290057.7017
42	289074.0678
43	288788.3301
44	287806.9015
45	287559.1159
46	287358.8364
47	287136.2847
48	286020.8726
49	285825.541
50	284707.988
51	284475.472
52	283870.301
53	283614.2609
54	282752.577
55	282271.5528
56	282003.4273
57	281823.8459
58	281640.0874
59	281431.3821
60	280622.1936
61	280026.606
62	279771.4956
63	279572.5038
64	279377.5405
65	278710.074
66	278513.1437
67	278350.5376
68	278203.4017
69	277994.7422
70	277845.7972
71	277626.5215
72	277436.1623
73	276755.7631
74	276561.6427
75	276358.3495
76	275667.2205
77	275489.3677
78	275042.1005
79	274852.0388
80	274022.4134
81	273834.6005
82	273666.9748
83	273487.6861
84	273285.6606
85	272245.7071
86	271261.1388
87	271101.4467
88	270913.1204
89	270758.9873
90	270086.9288
91	269915.7114
92	269766.9432
93	269293.7123
94	269097.6885
95	268946.2504
96	268782.1855
97	268608.8894
98	268456.5139
99	268306.6717
100	268035.0341
101	267905.2442
102	267783.5101
103	266918.9845
104	266728.5408
105	266605.3373
106	266139.1655
107	265980.3352
108	265791.5255
109	265648.2547
110	265025.0601
111	264931.5234
112	264803.9186
113	264674.9463
114	264519.3154
115	264400.7346
116	264015.4159
117	263577.6871
118	263454.5953
119	263332.0211
120	263223.4364
121	263097.1305
122	262935.643
123	262789.5211
124	262225.0547
125	262057.8028
126	261895.5429
127	261742.5797
128	261581.0454
129	261471.5775
130	261363.6062
131	260674.4972
132	260542.004
133	260384.7401
134	260236.2774
135	260100.5916
136	259981.3173
137	259843.9844
138	259717.5738
139	259572.6723
140	259461.7461
141	259330.0695
142	259179.0879
143	259070.9403
144	258944.6724
145	258814.8768
146	258672.455
147	258523.3525
148	258334.7495
149	258182.4214
150	258032.5904
151	257934.8359
152	257808.4931
153	257684.1028
154	256980.0817
155	256840.4392
156	256712.5849
157	256558.9475
158	256412.8977
159	256304.837
160	256177.8404
161	256039.4462
162	255894.8917
163	255258.1985
164	255103.7716
165	254975.7964
166	254832.1675
167	254699.7604
168	254573.3565
169	253693.0919
170	253556.5591
171	253422.8836
172	253290.3561
173	253159.9959
174	253023.4343
175	252586.4897
176	252453.3452
177	252318.0301
178	252186.2849
179	252048.0334
180	251592.1212
181	251460.3711
182	251328.6186
183	251202.5208
184	251072.4559
185	250936.5728
186	250806.6728
187	250681.9357
188	250551.567
189	250419.6823
190	250287.5107
191	250160.1869
192	250040.8917
193	249909.1318
194	249784.6711
195	249660.1715
196	249537.2749
197	248806.5148
198	248685.2513
199	248562.517
200	248438.7956
201	248319.9801
202	248196.2016
203	248073.7972
204	247956.5744
205	247839.2473
206	247722.5252
207	247604.5978
208	247487.3037
209	247372.7884
210	247253.9281
211	247138.7696
212	247023.553
213	246908.6658
214	246795.5007
215	246346.8398
216	246232.6357
217	246092.1734
218	245977.5199
219	245864.603
220	245755.6533
221	245145.9814
222	245009.4414
223	244706.3777
224	244597.5401
225	244489.9274
226	244381.7701
227	244274.4079
228	244167.7544
229	244060.8677
230	243955.6855
231	243850.5394
232	243749.8356
233	243645.2072
234	243541.0146
235	243438.0022
236	243335.4644
237	243233.4395
238	243131.3553
239	243029.9938
240	242928.0635
241	242803.4773
242	242702.6857
243	242602.1259
244	242502.5785
245	241993.1635
246	241893.3278
247	241794.8873
248	241696.2205
249	241443.4073
250	241345.5472
251	241248.3658
252	241151.5899
253	241054.6481
254	240958.2686
255	240862.5913
256	240766.735
257	240671.7175
258	240577.1036
259	240482.4666
260	240388.1025
261	240297.9449
262	239821.9279
263	239435.5501
264	239341.501
265	239248.3205
266	239155.317
267	239062.6792
268	238949.5037
269	238857.6481
270	238747.6292
271	238656.3763
272	238565.3772
273	238474.3736
274	238383.6204
275	238293.2179
276	238203.6507
277	238097.1859
278	237993.1972
279	237903.8307
280	237814.5049
281	237725.8637
282	237636.9027
283	237548.1433
284	237459.8604
285	237372.0378
286	237284.2138
287	237196.7248
288	237109.4773
289	237022.523
290	236935.5291
291	236848.8705
292	236762.6349
293	236676.574
294	236594.1546
295	236508.8486
296	236427.4518
297	236012.8652
298	235927.2803
299	235842.104
300	235757.1931
301	235672.6633
302	235577.883
303	235493.729
304	235409.8778
305	235326.1427
306	235242.7593
307	235159.7018
308	235076.4422
309	234993.3712
310	234910.6685
311	234828.1254
312	234746.0536
313	234663.9402
314	234582.2902
315	234056.5705
316	233975.0245
317	233893.7244
318	233812.8778
319	233732.2204
320	233651.4585
321	233570.8486
322	233490.7226
323	233410.6854
324	233334.8486
325	233255.1854
326	233179.2593
327	233100.2477
328	233021.4938
329	232942.5433
330	232864.0094
331	232785.4301
332	232707.0383
333	232629.0657
334	232551.1733
335	232473.7947
336	232396.2118
337	232318.7791
338	232241.5155
339	232164.7434
340	232087.9376
341	232011.0653
342	231934.4073
343	231858.0589
344	231782.2305
345	231706.2219
346	231630.3172
347	231554.5951
348	231479.0085
349	231403.54
350	231070.3371
351	230994.9578
352	230920.0692
353	230845.3194
354	230770.6579
355	230696.1742
356	230622.0651
357	230547.7948
358	230473.9847
359	230400.0296
360	230326.5673
361	230256.6453
362	230176.2242
363	229835.7795
364	229762.432
365	229689.4191
366	229616.6832
367	229544.0432
368	229471.3684
369	229399.1401
370	229320.2238
371	229248.2158
372	228943.71
373	228871.4798
374	228799.7541
375	228728.2891
376	228656.9723
377	228585.6946
378	228514.6089
379	228443.6256
380	228372.8619
381	228302.6415
382	228232.1779
383	228162.1736
384	228092.1388
385	228022.2157
386	227952.5484
387	227882.9039
388	227813.2243
389	227743.9595
390	227674.5299
391	227605.3617
392	227529.6884
393	227260.8233
394	226891.9047
395	226822.7156
396	226753.9041
397	226685.2406
398	226616.8285
399	226169.1421
400	226100.6324
401	226032.6808
402	225964.706
403	225899.6743
404	225832.2771
405	225758.5212
406	225691.2774
407	225624.525
408	225557.7077
409	225491.2263
410	225427.6097
411	225361.2519
412	225294.7893
413	225228.6151
414	225162.6119
415	225096.8836
416	225030.9448
417	224965.1477
418	224899.5215
419	224834.0589
420	224768.7436
421	224703.7109
422	224638.7252
423	224567.504
424	224502.6403
425	224437.7263
426	224373.1373
427	224308.5076
428	224243.9753
429	224179.5516
430	224115.4994
431	224051.6051
432	223987.5354
433	223923.6017
434	223860.0837
435	223796.2625
436	223732.5208
437	223668.8849
438	223605.3679
439	223545.2884
440	223482.0599
441	223211.8928
442	223148.5445
443	223085.6928
444	223022.9971
445	222692.657
446	222623.7048
447	222561.0054
448	222498.3807
449	222436.073
450	222376.6639
451	222314.3721
452	222252.1972
453	222190.2022
454	222128.3296
455	222066.6059
456	221999.4511
457	221938.0983
458	221879.4742
459	221818.3153
460	221757.1448
461	221362.0594
462	221300.8392
463	221239.8418
464	221178.9986
465	221118.1875
466	221057.5933
467	220997.2909
468	220936.9794
469	220876.8414
470	220819.1371
471	220759.2725
472	220699.6008
473	220634.4676
474	220574.9202
475	220515.2953
476	220455.9166
477	220396.4649
478	220194.7659
479	219979.4428
480	219922.6331
481	219863.3518
482	219804.2954
483	219745.4919
484	219689.6082
485	219630.9462
486	219572.5334
487	219514.1982
488	219455.7699
489	219124.6629
490	219066.2629
491	219008.2122
492	218950.3222
493	218892.4013
494	218834.5906
495	218777.9751
496	218720.3769
497	218662.9195
498	218605.8783
499	218541.0797
500	218483.9296
501	218426.8558
502	218370.0927
503	218313.2482
504	218256.7494
505	218200.1489
506	218143.779
507	218087.3444
508	217851.0456
509	217794.5953
510	217738.2183
511	217682.0152
512	217625.9103
513	217570.0157
514	217514.1981
515	217458.3303
516	217405.3853
517	217349.7358
518	217294.4367
519	217240.1294
520	217184.7439
521	217122.1735
522	217066.9265
523	217011.7364
524	216956.8616
525	216902.0949
526	216847.2152
527	216792.552
528	216738.0112
529	216683.3215
530	216628.9747
531	216574.6932
532	216520.291
533	216336.5601
534	216282.2158
535	216227.9697
536	216173.8087
537	216119.6877
538	216065.8286
539	215812.4674
540	215758.4915
541	215704.5315
542	215650.6694
543	215596.8952
544	215545.7965
545	215492.4169
546	215439.1034
547	215266.7892
548	215213.4398
549	215153.3266
550	215100.3219
551	215047.2063
552	214994.1625
553	214941.2676
554	214888.4822
555	214609.7332
556	214556.8468
557	214504.3039
558	214451.8725
559	214399.6036
560	214347.3791
561	214295.0678
562	214242.8357
563	214190.6735
564	214138.8041
565	214087.0683
566	214035.2519
567	213863.0762
568	213811.2773
569	213759.6037
570	213550.9754
571	213501.3254
572	213450.1011
573	213400.3275
574	213344.2568
575	213293.0687
576	213241.8144
577	213190.618
578	213139.7817
579	213088.7377
580	213037.9696
581	212987.0576
582	212936.9471
583	212886.4786
584	212736.8221
585	212686.3621
586	212635.9913
587	212589.7903
588	212532.8692
589	212482.7019
590	212432.5805
591	212289.9818
592	212239.6264
593	212189.347
594	212139.1426
595	212089.0426
596	212039.9799
597	211990.0021
598	211940.1503
599	211890.4301
600	211841.0012
601	211452.2716
602	211405.9066
603	211356.2614
604	211306.8434
605	211257.5428
606	211208.1573
607	211159.0258
608	211103.6578
609	211054.437
610	211005.3021
611	210956.2551
612	210907.3166
613	210744.6118
614	210695.8111
615	210649.2104
616	210600.8084
617	210552.1318
618	210503.5456
619	210456.8723
620	210408.4905
621	210360.3641
622	210312.1026
623	210263.8865
624	210215.8701
625	210167.7315
626	210119.6909
627	210071.7434
628	210024.1184
629	209976.2951
630	209928.7124
631	209881.0197
632	209833.3793
633	209785.8087
634	209738.3318
635	209691.1884
636	209638.1492
637	209590.8493
638	209543.5981
639	209496.3908
640	209451.4467
641	209404.304
642	209357.3655
643	209310.517
644	209263.583
645	209216.7468
646	209170.0904
647	208902.9783
648	208856.0162
649	208809.2795
650	208762.638
651	208716.2404
652	208669.8417
653	208623.4876
654	208577.2068
655	208411.5191
656	208365.0754
657	208262.9128
658	208209.3333
659	208163.1916
660	208117.0046
661	208070.885
662	208013.5515
663	207767.4713
664	207721.1903
665	207675.1655
666	207629.3967
667	207583.5664
668	207537.952
669	207492.3806
670	207446.703
671	207401.0559
672	207355.6287
673	207310.2888
674	207264.8827
675	207219.5428
676	207174.3817
677	207129.253
678	207084.2084
679	207039.2369
680	206994.1302
681	206949.1708
682	206904.2843
683	206861.213
684	206816.4256
685	206771.6775
686	206726.9723
687	206682.49
688	206529.8619
689	206485.189
690	206440.7509
691	206396.3724
692	206352.0264
693	206307.7346
694	206263.4972
695	206219.3116
696	206176.9184
697	206136.3533
698	206092.196
699	206048.2649
700	206004.4227
701	205962.6334
702	205718.689
703	205674.5367
704	205630.5997
705	205573.0296
706	205529.1465
707	205198.1998
708	205154.2878
709	205110.5912
