iter	Passed	Remaining
0	12	12880
1	24	12314
2	35	11808
3	45	11266
4	55	11010
5	65	10890
6	74	10590
7	84	10484
8	94	10362
9	104	10329
10	113	10226
11	123	10188
12	133	10140
13	143	10136
14	153	10061
15	162	9996
16	171	9917
17	181	9914
18	191	9867
19	202	9916
20	214	9976
21	225	10026
22	237	10088
23	248	10119
24	260	10142
25	270	10144
26	282	10175
27	292	10154
28	302	10133
29	315	10206
30	325	10166
31	334	10119
32	345	10116
33	355	10104
34	366	10095
35	376	10069
36	386	10049
37	396	10049
38	407	10034
39	416	10006
40	427	9991
41	436	9955
42	445	9921
43	455	9891
44	464	9865
45	475	9858
46	484	9827
47	494	9804
48	503	9774
49	513	9760
50	522	9727
51	531	9691
52	541	9678
53	551	9654
54	560	9627
55	569	9607
56	579	9584
57	591	9601
58	601	9597
59	613	9611
60	624	9606
61	634	9595
62	645	9599
63	656	9602
64	667	9604
65	678	9603
66	690	9613
67	699	9585
68	709	9576
69	719	9561
70	729	9541
71	739	9526
72	748	9506
73	758	9490
74	768	9482
75	778	9463
76	788	9446
77	799	9444
78	808	9430
79	820	9434
80	829	9416
81	838	9387
82	848	9371
83	857	9353
84	867	9335
85	876	9320
86	886	9300
87	897	9296
88	907	9288
89	919	9301
90	930	9289
91	940	9283
92	952	9288
93	962	9272
94	972	9264
95	982	9255
96	992	9241
97	1004	9248
98	1015	9241
99	1024	9221
100	1034	9211
101	1044	9199
102	1054	9179
103	1064	9174
104	1074	9157
105	1084	9144
106	1094	9133
107	1103	9116
108	1114	9114
109	1124	9100
110	1134	9088
111	1144	9073
112	1153	9057
113	1163	9042
114	1172	9025
115	1183	9016
116	1192	9003
117	1203	8996
118	1213	8986
119	1223	8971
120	1233	8957
121	1242	8940
122	1250	8916
123	1259	8895
124	1267	8872
125	1277	8858
126	1286	8843
127	1296	8832
128	1306	8820
129	1315	8806
130	1324	8788
131	1335	8779
132	1344	8765
133	1354	8756
134	1365	8746
135	1375	8735
136	1385	8726
137	1395	8714
138	1404	8701
139	1414	8687
140	1424	8679
141	1435	8674
142	1445	8663
143	1455	8651
144	1465	8642
145	1475	8630
146	1485	8622
147	1496	8612
148	1506	8601
149	1514	8584
150	1524	8568
151	1533	8555
152	1542	8538
153	1551	8520
154	1560	8505
155	1569	8488
156	1579	8478
