duree_carriere,name,nombre_tournage,prix,coef_personne
40,Leonardo DiCaprio,72,8,0.2414
39,Johnny Depp,97,9,0.2759
43,Tom Cruise,66,18,0.5862
26,Jason Statham,59,2,0.0345
16,Margot Robbie,47,15,0.4828
37,Brad Pitt,84,14,0.4483
27,Christopher Nolan,27,8,0.2414
36,Quentin Tarantino,64,9,0.2759
34,Will Smith,61,11,0.3448
66,Clint Eastwood,104,17,0.5517
25,Anaïs Demoustier,69,6,0.1724
32,Penélope Cruz,81,8,0.2414
5,Emma Mackey,11,2,0.0345
39,Cédric Klapisch,32,6,0.1724
23,Mahershala Ali,45,6,0.1724
41,Helena Bonham Carter,93,1,0.0
39,Ethan Hawke,107,11,0.3448
43,Maïwenn,43,11,0.3448
36,José Garcia,89,2,0.0345
65,Pierre Richard,104,2,0.0345
41,Sophie Marceau,55,3,0.069
23,Quentin Dupieux,18,19,0.6207
17,Jamie Dornan,32,2,0.0345
22,Chris Hemsworth,47,1,0.0
43,Ben Affleck,90,12,0.3793
22,Audrey Fleurot,69,2,0.0345
21,Chloë Grace Moretz,61,2,0.0345
29,M. Night Shyamalan,23,3,0.069
19,Emma Stone,41,10,0.3103
11,Tom Holland,28,1,0.0
36,Vincent Cassel,103,7,0.2069
26,Cillian Murphy,57,3,0.069
36,Matt Damon,105,4,0.1034
17,Jennifer Lawrence,47,10,0.3103
58,Gérard Depardieu,260,13,0.4138
31,Marion Cotillard,83,14,0.4483
61,Robert De Niro,147,6,0.1724
43,Nicolas Cage,129,3,0.069
35,Albert Dupontel,48,6,0.1724
30,Denis Villeneuve,23,2,0.0345
41,Joaquin Phoenix,52,6,0.1724
54,Sylvester Stallone,111,6,0.1724
45,Liam Neeson,130,1,0.0
30,Scarlett Johansson,77,3,0.069
31,Guillaume Canet,82,12,0.3793
41,Bruce Willis,136,2,0.0345
25,Jean Dujardin,59,15,0.4828
17,Pierre Niney,43,5,0.1379
19,François Civil,52,1,0.0
33,Jake Gyllenhaal,71,3,0.069
28,Ryan Gosling,56,5,0.1379
65,Steven Spielberg,94,14,0.4483
27,Wes Anderson,30,6,0.1724
44,Tom Hanks,113,11,0.3448
18,Virginie Efira,45,4,0.1034
59,Ridley Scott,56,1,0.0
64,Anthony Hopkins,120,8,0.2414
25,Bradley Cooper,79,3,0.069
40,Jean-Pierre Bacri,62,7,0.2069
60,Morgan Freeman,143,5,0.1379
24,Omar Sy,61,6,0.1724
65,Martin Scorsese,137,19,0.6207
22,Zac Efron,63,2,0.0345
15,Alicia Vikander,35,3,0.069
30,Keira Knightley,64,2,0.0345
26,Dwayne Johnson,84,3,0.069
35,Benoît Magimel,88,7,0.2069
22,Benedict Cumberbatch,91,1,0.0
19,Adèle Exarchopoulos,41,6,0.1724
24,Charlie Hunnam,32,1,0.0
29,Gilles Lellouche,81,2,0.0345
30,Dany Boon,44,7,0.2069
11,Millie Bobby Brown,15,4,0.1034
18,Ana de Armas,29,1,0.0
64,Woody Allen,94,22,0.7241
23,Camille Cottin,47,2,0.0345
23,Henry Cavill,37,2,0.0345
48,Mel Gibson,92,5,0.1379
28,James McAvoy,58,2,0.0345
44,Luc Besson,36,5,0.1379
23,Michael Fassbender,57,3,0.069
55,Hayao Miyazaki,52,3,0.069
15,Adam Driver,42,1,0.0
33,Vin Diesel,44,3,0.069
26,Mélanie Laurent,66,8,0.2414
36,Benoît Poelvoorde,81,5,0.1379
54,Robert Downey Jr.,110,7,0.2069
32,Mark Wahlberg,82,12,0.3793
15,Eddie Redmayne,35,5,0.1379
30,Romain Duris,69,6,0.1724
18,Eva Green,29,1,0.0
30,Natalie Portman,69,8,0.2414
41,David Fincher,31,5,0.1379
20,Emily Blunt,57,1,0.0
49,Pedro Almodóvar,46,16,0.5172
21,Jessica Chastain,69,7,0.2069
30,Charlize Theron,71,3,0.069
20,Rebecca Ferguson,32,1,0.0
