acteurs,anecdotes,duree,entrees,genre,pays,realisateur,studio,titre,Nb_celebrites,Est_Top_Studio
"Maxime Gasteuil,Zabou Breitman,Romain Lancry",5,96,126678,Comédie,France,Edouard Pluvieux,Wild Bunch Distribution,14 jours pour aller mieux,0,0
"Audrey Lamy,Fabrice Eboué,Anouk Grinberg",7,103,136628,Comédie,France,"Maxime Govare,Romain Choay",Warner Bros. France,Heureux gagnants,0,0
"Raphaël Personnaz,Doria Tillier,Jeanne Balibar",10,120,177724,Biopic,France,Anne Fontaine,SND,Bolero,0,1
"Olivia Colman,Jessie Buckley,Anjana Vasan",4,100,51921,"Comédie,Policier,Drame",Grande-Bretagne,Thea Sharrock,StudioCanal,Scandaleusement vôtre,0,0
"Sandra Hüller,Milo Machado-Graner,Swann Arlaud",9,151,346499,"Policier,Drame,Judiciaire",France,Justine Triet,Le Pacte,Anatomie d’une chute,0,1
"Christian Clavier,Marianne Denicourt,Didier Bourdon",5,91,584706,Comédie,France,Julien Hervé,SND,Cocorico,1,1
"Paola Cortellesi,Valerio Mastandrea,Romana Maggiora Vergano",6,118,145340,"Comédie,Drame",Italie,Paola Cortellesi,Universal Pictures International France,Il reste encore demain,0,0
"Jasmine Trinca,Leïla Bekhti,Rafaëlle Sonneville-Caby",7,99,51632,"Drame,Historique",France,Léa Todorov,Ad Vitam,La Nouvelle femme,1,0
"Timothée Chalamet, Zendaya,Rebecca Ferguson",19,166,1383999,"Drame,Science Fiction",U.S.A.,Denis Villeneuve,Warner Bros. France,Dune : Deuxième Partie,4,0
"Kingsley Ben-Adir,Lashana Lynch,James Norton",12,107,772865,"Biopic,Drame",U.S.A.,Reinaldo Marcus Green,Paramount Pictures France,Bob Marley: One Love,0,0
"Agnès Jaoui,William Lebghil,Salif Cissé",6,103,58613,Comédie dramatique,France,Julien Carpentier,KMBO,La Vie de ma mère,0,0
"Anthony Hopkins,Johnny Flynn,Helena Bonham Carter",9,109,456390,"Biopic,Drame",Grande-Bretagne,James Hawes,SND,Une vie,2,1
"Guillaume Canet,Alba Rohrwacher,Sharif Andoura",8,106,114495,"Comédie,Comédie dramatique,Drame",France,Stéphane Brizé,Gaumont Distribution,Hors-saison,1,0
"Kev Adams,Jean Reno,Daniel Prévost",8,102,526067,Comédie,France,Claude Zidi Jr.,Apollo Films,Maison de retraite 2,1,0
"Blanche Gardin,Michel Houellebecq,Luc Schwarz",6,88,12482,Comédie,France,Guillaume Nicloux,Bac Films,Dans la peau de Blanche Houellebecq,0,0
"Franck Dubosc,Reem Kherici,Philippe Lacheau",9,86,314952,"Aventure,Animation,Comédie",France,Reem Kherici,Gaumont Distribution,Chien et Chat,2,0
"Christian Friedel,Sandra Hüller,Johann Karthaus",7,105,239108,"Drame,Historique,Guerre",U.S.A.,Jonathan Glazer,Bac Films,La Zone d'intérêt,0,0
