acteurs,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
,350 000 000 $,,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
,300 000 000 $,,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
"
                            Dany Boon,
                            Kad Merad,
                            Michel Galabru,
                            Jérôme Commandeur",300 000 000 $,,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,Claude Berri,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
"
                            Johnny Depp,
                            Orlando Bloom,
                            Geoffrey Rush,
                            Keira Knightley",300 000 000 $,Hans Zimmer,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,Jerry Brukheimer,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
"
                            Johnny Depp,
                            Orlando Bloom,
                            Geoffrey Rush,
                            Keira Knightley",12 547 392 €,Hans Zimmer,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,Jerry Brukheimer,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",12 547 392 €,,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",225 000 000 $,,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",100 000 000 $,,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",74 982 618 €,,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",200 000 000 $,,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",125 000 000 $,,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",150 000 000 $,,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",200 000 000 $,,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",135 000 000 $,,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",260 000 000 $,,  26/10/2011,"
                                  1h 47min                            ",3 158 313,,Aventure - Action,Etats-Unis,,"
                                    Steven Spielberg",,731 ,"
                Sony Pictures","
                            Les Aventures de Tintin : Le secret de la Licorne",https://www.jpbox-office.com/fichfilm.php?id=10845&view=2
"
                            Daniel Craig,
                            Gad Elmaleh,
                            Simon Pegg",260 000 000 $,John Williams,  24/04/2013,"
                                  2h 10min                            ",2 064 740,Franchise,Comicbook,Etats-Unis,Steven Spielberg,"
                                    Shane Black",,731 ,"
                Walt Disney Pictures","
                            Iron Man 3",https://www.jpbox-office.com/fichfilm.php?id=11705&view=2
"
                            Daniel Craig,
                            Gad Elmaleh,
                            Simon Pegg",90 000 000 $,John Williams,  30/01/2019,"
                                  1h 39min                            ",2 153 093,Franchise,Comédie,France,Steven Spielberg,"
                                    Phlippe de Chauveron",,731 ,"
                UGC Distribution","
                            Qu'est-ce qu'on a encore fait au Bon Dieu ?",https://www.jpbox-office.com/fichfilm.php?id=18084&view=2
"
                            Daniel Craig,
                            Gad Elmaleh,
                            Simon Pegg",40 000 000 $,John Williams,  30/01/2019,"
                                  1h 39min                            ",2 153 093,Franchise,Comédie,France,Steven Spielberg,"
                                    Phlippe de Chauveron",,731 ,"
                UGC Distribution","
                            Qu'est-ce qu'on a encore fait au Bon Dieu ?",https://www.jpbox-office.com/fichfilm.php?id=18084&view=2
"
                            Robert Downey Jr,
                            Gwyneth Paltrow,
                            Don Cheadle,
                            Guy Pearce",40 000 000 $,Brian Tyler,  30/01/2019,"
                                  1h 39min                            ",2 153 093,Franchise,Comédie,France,Kevin Feige,"
                                    Phlippe de Chauveron",,731 ,"
                UGC Distribution","
                            Qu'est-ce qu'on a encore fait au Bon Dieu ?",https://www.jpbox-office.com/fichfilm.php?id=18084&view=2
"
                            Robert Downey Jr,
                            Gwyneth Paltrow,
                            Don Cheadle,
                            Guy Pearce",200 000 000 $,Brian Tyler,  30/01/2019,"
                                  1h 39min                            ",2 153 093,Franchise,Comédie,France,Kevin Feige,"
                                    Phlippe de Chauveron",,731 ,"
                UGC Distribution","
                            Qu'est-ce qu'on a encore fait au Bon Dieu ?",https://www.jpbox-office.com/fichfilm.php?id=18084&view=2
"
                            Robert Downey Jr,
                            Gwyneth Paltrow,
                            Don Cheadle,
                            Guy Pearce",44 000 000 $,Brian Tyler,  30/01/2019,"
                                  1h 39min                            ",2 153 093,Franchise,Comédie,France,Kevin Feige,"
                                    Phlippe de Chauveron",,731 ,"
                UGC Distribution","
                            Qu'est-ce qu'on a encore fait au Bon Dieu ?",https://www.jpbox-office.com/fichfilm.php?id=18084&view=2
"
                            Eric Bana,
                            Franck Dubosc,
                            Samy Nacéri",44 000 000 $,Thomas Newman,  30/01/2019,"
                                  1h 39min                            ",2 153 093,Franchise,Comédie,France,John Lasseter,"
                                    Phlippe de Chauveron",,731 ,"
                UGC Distribution","
                            Qu'est-ce qu'on a encore fait au Bon Dieu ?",https://www.jpbox-office.com/fichfilm.php?id=18084&view=2
,44 000 000 $,Danny Elfman,  30/01/2019,"
                                  1h 39min                            ",2 153 093,Franchise,Comédie,France,,"
                                    Phlippe de Chauveron",,731 ,"
                UGC Distribution","
                            Qu'est-ce qu'on a encore fait au Bon Dieu ?",https://www.jpbox-office.com/fichfilm.php?id=18084&view=2
,220 000 000 $,Danny Elfman,  30/01/2019,"
                                  1h 39min                            ",2 153 093,Franchise,Comédie,France,,"
                                    Phlippe de Chauveron",,731 ,"
                UGC Distribution","
                            Qu'est-ce qu'on a encore fait au Bon Dieu ?",https://www.jpbox-office.com/fichfilm.php?id=18084&view=2
