acteurs,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
,12 547 392 €,,  27/02/2008,"
                                  1h 46min                            ",4378720,,Comédie,France,,"
                                    Dany Boon",Remake,793,"
                Pathé","
                            Bienvenue chez les Ch'tis",https://www.jpbox-office.com/fichfilm.php?id=10042&view=2
"
                            Dany Boon,
                            Kad Merad,
                            Michel Galabru,
                            Jérôme Commandeur",12 547 392 €,,  27/02/2008,"
                                  1h 46min                            ",4378720,,Comédie,France,Claude Berri,"
                                    Dany Boon",Remake,793,"
                Pathé","
                            Bienvenue chez les Ch'tis",https://www.jpbox-office.com/fichfilm.php?id=10042&view=2
,356 000 000 $,,  24/04/2019,"
                                  3h 01min                            ",3426471,Franchise,Comicbook,Etats-Unis,,"
                                    - Russo (brothers)",,633,"
                Walt Disney Pictures","
                            Avengers: Endgame",https://www.jpbox-office.com/fichfilm.php?id=15189&view=2
"
                            Ewan McGregor,
                            Natalie Portman,
                            Samuel L. Jackson",,John Williams,  18/05/2005,"
                                  2h 26min                            ",3303005,Franchise,Fantasy,Etats-Unis,George Lucas,"
                                    George Lucas",,938,"
                20th Century Fox","
                            La Revanche des Sith",https://www.jpbox-office.com/fichfilm.php?id=701&view=2
"
                            Christian Clavier,
                            Jamel Debbouze,
                            Gérard Depardieu,
                            Edouard Baer,
                            Alain Chabat,
                            Monica Bellucci,
                            Marina Foïs,
                            Mathieu Kassovitz,
                            Jean-Paul Rouve",,,  30/01/2002,"
                                  1h 47min                            ",3685097,Franchise,Comédie,France,Claude Berri,"
                                    Alain Chabat",,945,"
                Pathé","
                            Astérix et Obélix: Mission Cléopatre",https://www.jpbox-office.com/fichfilm.php?id=1741&view=2
"
                            Christian Clavier,
                            Jamel Debbouze,
                            Gérard Depardieu,
                            Edouard Baer,
                            Alain Chabat,
                            Monica Bellucci,
                            Marina Foïs,
                            Mathieu Kassovitz,
                            Jean-Paul Rouve",50 300 000 €,,  30/01/2002,"
                                  1h 47min                            ",3685097,Franchise,Comédie,France,Claude Berri,"
                                    Alain Chabat",,945,"
                Pathé","
                            Astérix et Obélix: Mission Cléopatre",https://www.jpbox-office.com/fichfilm.php?id=1741&view=2
"
                            Ewan McGregor,
                            Natalie Portman,
                            Samuel L. Jackson",113 000 000 $,John Williams,  18/05/2005,"
                                  2h 26min                            ",3303005,Franchise,Fantasy,Etats-Unis,George Lucas,"
                                    George Lucas",,938,"
                20th Century Fox","
                            La Revanche des Sith",https://www.jpbox-office.com/fichfilm.php?id=701&view=2
"
                            Chris Evans,
                            Chris Hemsworth,
                            Robert Downey Jr,
                            Scarlett Johansson,
                            Jeremy Renner,
                            Paul Rudd,
                            Mark Ruffalo,
                            Chadwick Boseman,
                            Josh Brolin,
                            Don Cheadle,
                            Benedict Cumberbatch,
                            Tom Holland,
                            Gwyneth Paltrow,
                            Chris Pratt,
                            Michael Douglas,
                            Samuel L. Jackson,
                            Michelle Pfeiffer,
                            Natalie Portman,
                            Rene Russo,
                            Bradley Cooper,
                            Vin Diesel",356 000 000 $,Alan Silvestri,  24/04/2019,"
                                  3h 01min                            ",3426471,Franchise,Comicbook,Etats-Unis,Kevin Feige,"
                                    - Russo (brothers)",,633,"
                Walt Disney Pictures","
                            Avengers: Endgame",https://www.jpbox-office.com/fichfilm.php?id=15189&view=2
,12 560 000 €,,  07/02/2001,"
                                  1h 45min                            ",2830489,Franchise,Comédie,France,,"
                                    Thomas Gilou",,827,"
                Warner Bros.","
                            La Vérité si je mens! 2",https://www.jpbox-office.com/fichfilm.php?id=2077&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",,,  14/12/2022,"
                                  3h 12min                            ",2739848,Franchise,Science Fiction,Etats-Unis,,"
                                    James Cameron",,762,"
                Walt Disney Pictures","
                            Avatar : la voie de l'eau",https://www.jpbox-office.com/fichfilm.php?id=18826&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",350 000 000 $,,  14/12/2022,"
                                  3h 12min                            ",2739848,Franchise,Science Fiction,Etats-Unis,,"
                                    James Cameron",,762,"
                Walt Disney Pictures","
                            Avatar : la voie de l'eau",https://www.jpbox-office.com/fichfilm.php?id=18826&view=2
,200 000 000 $,,  15/12/2021,"
                                  2h 28min                            ",2867515,Franchise,Comicbook,Etats-Unis,,"
                                    Jon Watts",,882,"
                Sony Pictures","
                            Spider-Man: No Way Home",https://www.jpbox-office.com/fichfilm.php?id=21065&view=2
,200 000 000 $,,  15/07/2009,"
                                  2h 33min                            ",2882397,Franchise,Fantasy,Etats-Unis,,"
                                    David Yates",,949,"
                Warner Bros.","
                            Harry Potter et le Prince de sang-mêlé",https://www.jpbox-office.com/fichfilm.php?id=12&view=2
